Cieciory 8, 18-525 Cieciory, Polska;Janowo 52, 18-500 Janowo, Polska;Kumelsk 21, 18-500 Kumelsk, Polska;Cieciory 11, 18-525 Cieciory, Polska;Jurzec Szlachecki 52, 18-520 Jurzec Szlachecki, Polska;Zabiele 198, 18-500 Zabiele, Polska;Karwowo 10, 18-520 Karwowo, Polska;Mściwuje 1, 18-516 Mściwuje, Polska;Stare Kiełcze 11, 18-500 Stare Kiełcze, Polska;Milewo-Gałązki 27, 18-507 Milewo-Gałązki, Polska;Cedry 29, 18-520 Cedry, Polska;Stary Gromadzyn 36, 18-500 Stary Gromadzyn, Polska;Karwowo 4, 18-520 Karwowo, Polska;Rogienice-Wypychy 12, 18-516 Rogienice-Wypychy, Polska;Strażacka 56, 18-520 Poryte, Polska;Guty Podleśne 9, 18-507 Guty Podleśne, Polska;Zabiele 12, 18-520 Zabiele, Polska;Stare Kiełcze 23, 18-500 Stare Kiełcze, Polska;Zalesie 6, 18-520 Zalesie, Polska;Brzozowo 17, 18-500 Brzozowo, Polska;Charubin 29, 18-525 Charubin, Polska;Koziki-Olszyny 18, 18-500 Koziki-Olszyny, Polska;Łacha 106, 18-525 Łacha, Polska;Cieloszka 87, 18-525 Cieloszka, Polska;Cieciory 15, 18-525 Cieciory, Polska;Ksebki 49A, 18-525 Ksebki, Polska;Cwaliny Duże 11, 18-516 Cwaliny Duże, Polska;Kupnina 11, 18-414 Kupnina, Polska;Cedry 23, 18-520 Cedry, Polska;Kąty 16, 18-516 Kąty, Polska
41508;23980;24721;38875;7216;27352;7854;23828;23422;24896;0;19641;7668;18553;9879;20359;9744;23191;9494;32001;52818;12402;37091;36202;40971;45248;23285;29509;438;21646
24862;12713;10948;25346;24194;10706;23627;19420;8912;15138;19622;0;23441;22151;15960;18984;20633;8681;25266;15631;28191;9739;20445;19556;24325;28603;18878;25101;19288;17238
38873;22832;29246;37991;12254;29642;186;18089;27948;28765;7634;24167;0;11433;9100;24228;13613;27717;2374;36527;51934;16927;39556;38492;38337;47539;22056;24599;10444;20251
31829;18844;33099;30946;23131;25655;11247;11044;29012;37289;18511;22151;11433;0;16152;35106;24491;29026;10798;32186;44890;27805;35569;34504;31292;43551;15012;17554;21321;13206
30124;14347;21039;29242;15389;21157;9298;14195;19741;25229;10817;15960;9112;16152;0;18482;13243;19510;10937;27689;43185;8721;31071;30007;29587;39054;13652;19876;10483;12013
40850;28701;8715;41334;24785;26695;24416;35409;15856;4537;20212;18984;24229;35114;18482;0;9449;15625;26055;22575;44179;13546;36433;35544;40313;44591;34866;41089;19878;33226
41706;26172;20488;42190;14180;27551;13811;26020;19190;13986;9608;19840;13625;24510;12450;9449;0;18959;15450;25908;45035;12601;37289;36400;41170;45447;25477;31701;9274;23838
29448;19587;6899;29931;27744;17198;27177;26295;469;11089;23172;8681;26991;29026;19510;15625;18959;0;28817;7187;32776;10846;22114;24142;28911;33188;25753;31976;22838;24113
38238;26574;31064;37356;14072;33384;2188;17453;29766;30583;9452;25985;2374;10798;10918;26047;15431;29535;0;38345;51299;18746;43298;42233;37701;51280;21421;23964;12262;19615
26995;22747;13848;27479;36432;14756;35865;29454;7173;18038;31859;15631;35679;32185;27688;22575;25908;7187;37504;0;30324;17796;19661;21689;26459;30736;28912;35135;31526;27272
12667;35949;38966;11785;49217;19815;51754;34086;32763;43156;44645;28019;51667;44895;43190;44007;45656;32776;51304;30324;0;34762;20746;10332;12130;18865;29919;28697;44311;31904
31606;19457;12376;32090;16955;17450;16387;22943;11077;16565;12382;9739;16201;27086;8721;13546;13393;10846;18027;17796;34935;0;27189;26300;31069;35347;22401;28624;12048;20761
17418;26129;28775;17902;41643;14981;41076;32837;22100;32965;37070;20444;40889;35568;31070;36432;38081;22114;42715;19661;20746;27188;0;12112;16881;15416;32294;38518;36736;30655
7003;25049;30331;7487;40583;11181;40015;31756;24128;34521;36010;19384;39829;34487;29990;35372;37021;24142;41655;21689;10332;26128;12112;0;6466;10744;25002;32865;35676;29574
670;23922;35101;1411;45352;15950;38151;20483;28897;39291;40779;24153;44598;31292;34759;40141;41790;28911;37701;26459;12130;30897;16881;6466;0;15000;18926;26789;40445;18035
15536;34096;39378;16020;49629;20227;49062;40803;33175;43568;45057;28431;48876;43534;39037;44419;46068;33188;50702;30736;18627;35174;16492;10744;15000;0;40261;41399;44723;38621
19751;6699;30888;18869;28199;23443;21870;3968;26801;35077;23626;19940;22056;15012;13941;35928;25955;26815;21421;29975;29914;22689;33357;32293;19214;33824;0;2791;23293;2654
27320;12634;36823;26438;34134;29378;24413;10771;32736;41013;29561;25875;24599;17554;19876;41863;31890;32750;23964;35910;28691;28624;39292;32860;26783;41393;6604;0;29228;8589
41226;23699;24440;38594;7605;27071;10626;23547;23141;24615;438;19360;10440;21325;9598;20078;9463;22910;12266;31720;52537;12121;36810;35921;40690;44967;23004;29228;0;21365
18837;4771;28960;17955;26271;21516;20065;2397;24873;33150;21699;18012;20251;13206;12013;34000;24027;24887;19615;28047;31898;20761;31429;30365;18301;32910;2366;8589;21365;0
